lang,name,desc,url,git,install_command,completions_command,init_command
bun,cheerio-cli,"cheerio in command line","","https://github.com/mlwmlw/cheerio-cli","","",""
bun,claude-squad,"Manage multiple AI terminal agents like Claude Code, Aider, Codex, OpenCode, and Amp.","https://smtg-ai.github.io/claude-squad/","https://github.com/smtg-ai/claude-squad","","cs completion fish | string replace -r '\bclaude-squad\b' 'cs'",""
bun,fish-lsp,"fish language server","https://fish-lsp.dev/","https://github.com/ndonfris/fish-lsp","bun add -g fish-lsp # or let mason install it with neovim","",""
go,age,"A simple, modern, and secure file encryption tool.","https://github.com/FiloSottile/age","https://github.com/FiloSottile/age","go install filippo.io/age/cmd/...@latest","",""
go,chezmoi,"A multi-machine dotfile manager, written in Go.","https://www.chezmoi.io/reference/","https://github.com/twpayne/chezmoi/tree/master","go install github.com/twpayne/chezmoi@latest # alt: sh -c ""$(curl -fsLS get.chezmoi.io)""","chezmoi completion fish",""
go,direnv,"direnv is an extension for your shell. It augments existing shells with a new feature that can load and unload environment variables depending on the current directory.","https://direnv.net/","https://github.com/direnv/direnv","go install github.com/direnv/direnv@latest","","direnv hook fish"
go,fzf,"Fuzzy finder.","","https://github.com/junegunn/fzf","go install github.com/junegunn/fzf@latest","",""
go,lazygit,"","","","go install github.com/jesseduffield/lazygit@latest","",""
go,mlr,"","","https://github.com/johnkerl/miller","go install github.com/johnkerl/miller/v6/cmd/mlr@latest","",""
go,wsl2-ssh-agent,"","","https://github.com/mame/wsl2-ssh-agent","go install github.com/mame/wsl2-ssh-agent@latest","",""
go,yq,"A lightweight and portable YAML processor.","https://mikefarah.gitbook.io/yq/","","","",""
rust,aoc,"","","","","",""
rust,argc,"","","","","",""
rust,bacon,"A background code checker for Rust.","https://github.com/Canop/bacon","","","",""
rust,bandwhich,"Display the current network utilization by process, connection, or remote IP/hostname.","https://github.com/imsnif/bandwhich#usage","","","",""
rust,btm,"Display system information about the CPU, memory, disks, network, and processes.","https://clementtsang.github.io/bottom/nightly/#usage-and-configuration","","bottom","",""
rust,cargo-binstall,"Binstall provides a low-complexity mechanism for installing Rust binaries as an alternative to building from source (via cargo install) or manually downloading packages.","","https://github.com/cargo-bins/cargo-binstall","cargo install cargo-binstall","",""
rust,cargo-update,"A cargo subcommand for checking and applying updates to installed executables","","https://github.com/nabijaczleweli/cargo-update","cargo install cargo-update","",""
rust,choose,"A human-friendly and fast alternative to cut and (sometimes) awk.","https://github.com/theryangeary/choose#usage","","","",""
rust,complgen,"","","","","",""
rust,delta,"A viewer for Git and diff output.","https://dandavison.github.io/delta/full---help-output.html","","","delta --generate-completion fish",""
